run,agent,date,equity
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-01,10000.0
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-02,9979.83
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-03,9964.89
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-04,10044.9
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-05,9906.23
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-08,9892.76
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-09,9877.84
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-10,9864.53
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-11,9855.18
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-12,9871.91
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-15,9858.75
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-16,9821.58
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-17,9797.16
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-18,9797.16
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-22,9798.89
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-23,9829.71
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-24,9804.62
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-25,9645.02
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-26,9614.29
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-29,9524.84
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-06-30,9526.28
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-01,9520.14
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-02,9530.37
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-06,9521.33
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-07,9492.8
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-08,9457.41
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-09,9457.41
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-10,9453.67
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-13,9446.55
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-14,9432.39
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-15,9498.75
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-16,9412.01
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-17,9365.6
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-20,9358.62
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-21,9351.78
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-22,9340.5
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-23,9314.85
leaderboard_rules,Prompt 1 — leaderboard mandate,2026-07-24,9287.24
